Id. Parada,Cod. Via / Cod. Vía,Num. Portal,Suprimida,Denominació / Denominación,Línies / Líneas,Proximas_llegadas,geo_shape,geo_point_2d,geometry,latitud,longitud,hora_descarga
1263.0,20220.0,3,0,Comte de Salvatierra - Colón (1263),"13,40",  Pta.de la Mar - 8 min.   Est.del Nord - 10 min.   Pta.de la Mar - 21 min.   Est.del Nord - 24 min.,"{""coordinates"": [-0.36907985561477163, 39.47108531939112], ""type"": ""Point""}","39.47108531939112, -0.36907985561477163",POINT (-0.3690798556147716 39.47108531939112),39.47108531939112,-0.36907985561477163,16:12:07
1274.0,73920.0,10,0,Mercat de Castilla (1274),"70,73,N5",  Sant Isidre - 10 min.   La Fontsanta - 11 min.   La Fontsanta - 24 min.   Sant Isidre - 26 min.,"{""coordinates"": [-0.4063797881450883, 39.46600430866627], ""type"": ""Point""}","39.46600430866627, -0.4063797881450883",POINT (-0.4063797881450883 39.46600430866627),39.46600430866627,-0.4063797881450883,16:12:07
1128.0,70530.0,94 (DAVANT),0,Mercat de Torrefiel (1128),"6,60",  Hosp. La Fe - 3 min.   Est.del Nord - 10 min.   Hosp. La Fe - 14 min.   Est.del Nord - 22 min.,"{""coordinates"": [-0.3762339814634081, 39.497939392725726], ""type"": ""Point""}","39.497939392725726, -0.3762339814634081",POINT (-0.3762339814634081 39.49793939272573),39.497939392725726,-0.3762339814634081,16:12:07
1210.0,900.0,ILLETA RENFE,0,Blasco Ibáñez - Serradora (1210),81,  Est.del Nord - 9 min.   Est.del Nord - 15 min.,"{""coordinates"": [-0.33518776619690743, 39.47026767230577], ""type"": ""Point""}","39.47026767230577, -0.33518776619690743",POINT (-0.3351877661969074 39.47026767230577),39.47026767230577,-0.33518776619690743,16:12:07
1035.0,81310.0,22 (DAVANT INSTITUT),0,Aragó - Finlàndia (1035),"10,12,80,93,N1",  Av. Cid - 4 min.   Pl. America - 4 min.   Av. Cid - 8 min.   Sant Marcel.li - 10 min.   Pl. Espanya - 11 min.   Sant Marcel.li - 22 min.   Pl. America - 23 min.   Pl. Espanya - 27 min.,"{""coordinates"": [-0.35864489194260896, 39.470826231572865], ""type"": ""Point""}","39.470826231572865, -0.35864489194260896",POINT (-0.358644891942609 39.47082623157286),39.470826231572865,-0.35864489194260896,16:12:07
1052.0,29190.0,109 (DAVANT BALNEARI),0,Eugènia Viñes - Mare de Déu del Sufragi (1052),32,  Est.del Nord - 11 min.   Est.del Nord - 22 min.,"{""coordinates"": [-0.3253349908919775, 39.46688930739735], ""type"": ""Point""}","39.46688930739735, -0.3253349908919775",POINT (-0.3253349908919775 39.46688930739735),39.46688930739735,-0.3253349908919775,16:12:07
1120.0,54990.0,22,0,Tomàs Montañana (parell) - Astúries (1120),40,  Est.del Nord - 12 min.   Est.del Nord - 27 min.,"{""coordinates"": [-0.35230762014534195, 39.46360792755297], ""type"": ""Point""}","39.46360792755297, -0.35230762014534195",POINT (-0.3523076201453419 39.46360792755297),39.46360792755297,-0.35230762014534195,16:12:07
734.0,18570.0,11,0,Ciscar - Comte d'Altea (734),"13,40",  Pta.de la Mar - 5 min.   Est.del Nord - 7 min.   Pta.de la Mar - 18 min.   Est.del Nord - 21 min.,"{""coordinates"": [-0.3663166285891424, 39.46717694166819], ""type"": ""Point""}","39.46717694166819, -0.3663166285891424",POINT (-0.3663166285891424 39.46717694166819),39.46717694166819,-0.3663166285891424,16:12:07
764.0,5160.0,1 (DAVANT RIU),0,Plaça Amèrica (764),"10,12,24,25,4,94,95,N1,N8",  Tres Creus - Próximo   Pta.de la Mar - 8 min.   Poeta Querol - 11 min.   Campanar - 11 min.   C.Art.Faller - 11 min.   Sant Marcel.li - 12 min.   Poeta Querol - 13 min.   Tres Creus - 15 min.   Sant Marcel.li - 24 min.   Est.Autobusos - 26 min.   Campanar - 30 min.   Pta.de la Mar - 30 min.   C.Art.Faller - 32 min.   Pta.de la Mar - 55 min.,"{""coordinates"": [-0.36413769904304755, 39.46928963085881], ""type"": ""Point""}","39.46928963085881, -0.36413769904304755",POINT (-0.3641376990430475 39.46928963085881),39.46928963085881,-0.36413769904304755,16:12:07
795.0,35100.0,106,0,La Bene (795),"28,C1",  Cntr.Històric - 3 min.   C.Art.Faller - 4 min.   Cntr.Històric - 11 min.   C.Art.Faller - 12 min.,"{""coordinates"": [-0.3836940721505621, 39.47784091946038], ""type"": ""Point""}","39.47784091946038, -0.3836940721505621",POINT (-0.3836940721505621 39.47784091946038),39.47784091946038,-0.3836940721505621,16:12:07
